block_seq_num,block_var_num,block_route_num,block_run_num
5622283,1,36,13
5622315,1,2,13
5622321,1,70,1
5622322,1,44,1
5622375,1,70,2
5622376,1,70,3
5622377,1,70,5
5622378,1,70,6
5622379,1,70,7
5622380,1,70,8
5622381,1,70,9
5622382,1,70,10
5622386,1,70,17
5622387,1,70,4
5622388,1,70,21
5622389,1,70,22
5622390,1,70,11
5622391,1,70,15
5622392,1,70,19
5622394,1,70,16
5622395,1,70,20
5622396,1,675,12
5622397,1,675,15
5622398,1,675,1
5622399,1,675,2
5622400,1,675,4
5622401,1,675,5
5622402,1,675,10
5622403,1,675,14
5622404,1,675,16
5622405,1,675,18
5622406,1,675,20
5622407,1,675,22
5622408,1,675,23
5622409,1,675,25
5622410,1,675,26
5622411,1,675,27
5622412,1,675,29
5622413,1,675,33
5622414,1,675,37
5622415,1,675,40
5622416,1,675,42
5622417,1,675,45
5622418,1,675,3
5622419,1,675,17
5622420,1,675,34
5622461,1,675,6
5622462,1,675,8
5622463,1,675,13
5622464,1,675,19
5622465,1,675,7
5622466,1,675,11
5622467,1,675,32
5622468,1,675,9
5622469,1,675,21
5622470,1,675,24
5622471,1,675,41
5622472,1,675,31
5622473,1,675,44
5622474,1,675,47
5622475,1,675,35
5622476,1,675,36
5622477,1,675,39
5622478,1,675,30
5622479,1,675,43
5622480,1,675,38
5622481,1,675,28
5622482,1,675,46
5622483,1,674,30
5622484,1,674,1
5622485,1,674,2
5622486,1,674,3
5622487,1,674,4
5622488,1,674,5
5622489,1,674,6
5622490,1,674,7
5622491,1,674,8
5622492,1,674,9
5622493,1,674,10
5622494,1,674,11
5622495,1,674,12
5622496,1,674,13
5622497,1,674,14
5622498,1,674,15
5622499,1,674,16
5622500,1,674,17
5622501,1,674,18
5622502,1,674,19
5622503,1,674,20
5622504,1,674,21
5622505,1,674,22
5622506,1,674,23
5622507,1,674,24
5622508,1,674,25
5622509,1,674,26
5622510,1,674,27
5622511,1,674,29
5622512,1,673,48
5622513,1,673,1
5622514,1,673,2
5622515,1,673,4
5622516,1,673,5
5622517,1,673,6
5622518,1,673,7
5622519,1,673,8
5622520,1,673,9
5622521,1,673,10
5622522,1,673,11
5622523,1,673,12
5622524,1,673,13
5622525,1,673,15
5622526,1,673,16
5622527,1,673,17
5622528,1,673,18
5622529,1,673,19
5622530,1,673,20
5622531,1,673,21
5622532,1,673,22
5622533,1,673,23
5622534,1,673,24
5622535,1,673,25
5622536,1,673,26
5622537,1,673,27
5622538,1,673,28
5622539,1,673,30
5622540,1,673,31
5622541,1,673,33
5622542,1,673,34
5622543,1,673,35
5622544,1,673,36
5622545,1,673,37
5622546,1,673,38
5622547,1,673,40
5622548,1,673,41
5622549,1,673,42
5622550,1,673,43
5622551,1,673,44
5622552,1,673,45
5622553,1,673,46
5622554,1,673,47
5622555,1,673,3
5622556,1,673,14
5622557,1,673,29
5622558,1,673,39
5622563,1,70,23
5622565,1,673,32
5622566,1,674,28
5622567,1,70,12
5622568,1,70,13
5622569,1,70,14
5622570,1,70,18
5622575,1,47,1
5622614,1,10,1
5622615,1,10,2
5622616,1,10,3
5622617,1,10,4
5622623,1,2,5
5622625,1,2,8
5622633,1,3,7
5622634,1,3,8
5622635,1,3,9
5622636,1,3,6
5622637,1,3,5
5622638,1,3,3
5622639,1,3,2
5622640,1,3,1
5622641,1,3,4
5622642,1,3,10
5622645,1,2,7
5622654,1,673,1
5622655,1,673,2
5622656,1,673,3
5622657,1,673,4
5622658,1,673,5
5622659,1,673,6
5622660,1,673,7
5622661,1,673,8
5622662,1,673,9
5622663,1,673,10
5622664,1,673,11
5622665,1,673,12
5622666,1,673,13
5622667,1,673,14
5622668,1,674,1
5622669,1,674,2
5622670,1,674,3
5622671,1,674,4
5622672,1,674,5
5622673,1,674,6
5622674,1,674,7
5622675,1,674,8
5622676,1,674,9
5622677,1,674,10
5622678,1,674,11
5622679,1,674,12
5622680,1,674,13
5622684,1,675,2
5622685,1,675,3
5622690,1,675,8
5622691,1,675,9
5622693,1,675,11
5622695,1,675,13
5622696,1,675,14
5622698,1,673,16
5622700,1,47,1
5622707,1,7,6
5622716,1,7,15
5622721,1,7,20
5622761,1,673,1
5622762,1,673,2
5622763,1,673,3
5622764,1,673,4
5622765,1,673,5
5622766,1,673,6
5622767,1,673,7
5622768,1,673,8
5622769,1,673,9
5622770,1,673,10
5622771,1,673,11
5622773,1,673,12
5622775,1,674,1
5622776,1,674,2
5622777,1,674,3
5622778,1,674,4
5622779,1,674,5
5622780,1,674,6
5622781,1,674,7
5622782,1,674,8
5622783,1,674,9
5622791,1,675,12
5622817,1,5,2
5622818,1,5,3
5622819,1,5,4
5622820,1,5,5
5622821,1,5,6
5622822,1,5,7
5622823,1,5,8
5622824,1,5,9
5622825,1,5,10
5622826,1,5,11
5622827,1,5,12
5622828,1,5,13
5622829,1,5,14
5622830,1,5,17
5622831,1,5,21
5622832,1,5,22
5622833,1,5,23
5622853,1,5,1
5622862,1,5,15
5622863,1,5,18
5622864,1,5,19
5622865,1,5,16
5622866,1,5,20
5622890,1,5,2
5622891,1,5,3
5622892,1,5,4
5622893,1,5,5
5622894,1,5,6
5622895,1,5,7
5622896,1,5,8
5622897,1,5,9
5622898,1,5,10
5622899,1,5,11
5622900,1,5,12
5622901,1,5,13
5622902,1,5,14
5622903,1,5,15
5622904,1,5,16
5622905,1,5,17
5622906,1,5,18
5622907,1,5,19
5622908,1,5,20
5622909,1,5,23
5622910,1,5,22
5622911,1,5,24
5622917,1,5,1
5622919,1,5,21
5622968,1,5,8
5622969,1,5,2
5622970,1,5,4
5622971,1,5,11
5622972,1,5,10
5622973,1,5,3
5622974,1,5,18
5622975,1,5,6
5622976,1,5,14
5622988,1,214,16
5622993,1,57,9
5622997,1,5,17
5623007,1,56,10
5623017,1,5,38
5623018,1,5,34
5623021,1,57,8
5623035,1,5,35
5623036,1,5,40
5623048,1,214,11
5623052,1,5,32
5623058,1,5,36
5623072,1,5,43
5623074,1,5,22
5623077,1,5,26
5623085,1,5,1
5623088,1,5,33
5623104,1,5,30
5623113,1,5,39
5623114,1,5,37
5623117,1,5,13
5623131,1,74,5
5623132,1,74,7
5623165,1,40,15
5623168,1,5,21
5623176,1,5,27
5623177,1,5,20
5623178,1,5,16
5623183,1,40,1
5623185,1,40,36
5623194,1,40,7
5623195,1,40,13
5623196,1,60,5
5623198,1,40,34
5623199,1,40,11
5623205,1,40,43
5623206,1,40,16
5623215,1,994,2
5623217,1,40,31
5623219,1,40,38
5623230,1,5,41
5623231,1,40,44
5623236,1,5,9
5623237,1,56,11
5623238,1,40,47
5623242,1,5,42
5623244,1,74,1
5623245,1,74,2
5623246,1,74,3
5623247,1,74,4
5623248,1,74,6
5623249,1,74,8
5623250,1,74,9
5623259,1,74,10
5623260,1,5,28
5623262,1,5,29
5623264,1,5,31
5623814,1,673,13
5623815,1,673,14
5623816,1,674,10
5623817,1,674,11
5623818,1,674,14
5623819,1,674,15
5623820,1,673,15
5625438,1,599,7
5625439,1,599,12
5625440,1,599,1
5625441,1,599,9
5625442,1,599,8
5625443,1,599,2
5625444,1,599,4
5625445,1,599,10
5625446,1,599,5
5625447,1,599,6
5625448,1,599,3
5625449,1,599,11
5625450,1,599,1
5625451,1,599,6
5625452,1,599,2
5625453,1,599,7
5625454,1,599,8
5625455,1,599,4
5625456,1,599,9
5625457,1,599,5
5625458,1,599,10
5625459,1,599,12
