block_identifier,service_id,trip_id,trip_sequence
5622283,59729,46905927,1
5622315,59729,46906406,1
5622315,59729,46906362,2
5622321,59729,46906438,1
5622321,59729,46906440,4
5622321,59729,46906442,7
5622321,59729,46906439,10
5622321,59729,46907241,13
5622321,59729,46906171,16
5622322,59729,46906443,1
5622322,59729,46906444,4
5622322,59729,46906446,10
5622322,59729,46907950,13
5622375,59729,46907202,1
5622375,59729,46907204,4
5622375,59729,46907203,7
5622375,59729,46907253,10
5622375,59729,46907244,13
5622375,59729,46906170,16
5622375,59729,46907305,19
5622375,59729,46907304,22
5622375,59729,46907310,25
5622375,59729,46907309,28
5622375,59729,46907322,31
5622375,59729,46907323,34
5622375,59729,46907307,37
5622375,59729,46907351,40
5622375,59729,46907312,43
5622375,59729,46907314,46
5622376,59729,46907210,1
5622376,59729,46907215,4
5622376,59729,46907213,7
5622376,59729,46907212,10
5622376,59729,46907211,13
5622376,59729,46907208,16
5622376,59729,46907216,19
5622376,59729,46907528,22
5622376,59729,46907214,25
5622376,59729,46907529,28
5622376,59729,46907217,31
5622376,59729,46907205,34
5622376,59729,46907259,37
5622376,59729,46907267,40
5622376,59729,46907268,43
5622376,59729,46907269,46
5622377,59729,46907224,1
5622377,59729,46907220,4
5622377,59729,46907282,7
5622377,59729,46907276,10
5622377,59729,46907279,13
5622377,59729,46907277,16
5622377,59729,46907278,19
5622377,59729,46907284,22
5622377,59729,46907283,25
5622377,59729,46907285,28
5622377,59729,46907337,31
5622377,59729,46907336,34
5622377,59729,46907339,37
5622377,59729,46907338,40
5622377,59729,46907193,43
5622377,59729,46907194,46
5622377,59729,46907196,49
5622377,59729,46907197,52
5622377,59729,46907198,55
5622377,59729,46907199,58
5622378,59729,46907235,1
5622378,59729,46907234,4
5622378,59729,46907195,7
5622378,59729,46907184,10
5622378,59729,46907183,13
5622378,59729,46907186,16
5622378,59729,46907182,19
5622378,59729,46907188,22
5622378,59729,46907187,25
5622378,59729,46907190,28
5622378,59729,46907189,31
5622378,59729,46907185,34
5622378,59729,46907191,37
5622378,59729,46907192,40
5622379,59729,46907237,1
5622379,59729,46907238,4
5622379,59729,46907239,7
5622379,59729,46907294,10
5622379,59729,46907297,13
5622379,59729,46907527,16
5622379,59729,46907300,19
5622379,59729,46907524,22
5622379,59729,46907520,25
5622379,59729,46907530,28
5622379,59729,46907340,31
5622379,59729,46907299,34
5622379,59729,46907342,37
5622379,59729,46907343,40
5622380,59729,46907243,1
5622380,59729,46907242,4
5622380,59729,46907201,7
5622380,59729,46907247,10
5622380,59729,46907245,13
5622380,59729,46907251,16
5622380,59729,46907518,19
5622380,59729,46907254,22
5622380,59729,46907255,25
5622380,59729,46907248,28
5622380,59729,46907320,31
5622380,59729,46907250,34
5622381,59729,46907252,1
5622381,59729,46906173,4
5622381,59729,46907256,7
5622381,59729,46907523,10
5622381,59729,46907260,13
5622381,59729,46907261,16
5622381,59729,46907265,19
5622381,59729,46907264,22
5622381,59729,46907311,25
5622381,59729,46907306,28
5622381,59729,46907352,31
5622381,59729,46907308,34
5622381,59729,46907522,37
5622381,59729,46907355,40
5622381,59729,46907356,43
5622381,59729,46907358,46
5622381,59729,46907359,49
5622381,59729,46907357,52
5622381,59729,46907941,53
5622381,59729,46907938,56
5622381,59729,46907936,59
5622382,59729,46907262,1
5622382,59729,46907263,4
5622382,59729,46907514,7
5622382,59729,46907257,10
5622386,59729,46907266,1
5622386,59729,46907258,4
5622386,59729,46906169,7
5622386,59729,46907354,10
5622386,59729,46907353,13
5622386,59729,46907532,16
5622386,59729,46907270,19
5622386,59729,46907272,22
5622386,59729,46907271,25
5622386,59729,46907273,28
5622387,59729,46907513,1
5622387,59729,46907525,4
5622387,59729,46907275,7
5622387,59729,46907274,10
5622387,59729,46907226,13
5622387,59729,46907526,16
5622387,59729,46907517,19
5622387,59729,46907207,22
5622387,59729,46907230,25
5622387,59729,46907209,28
5622387,59729,46907328,31
5622387,59729,46907326,34
5622387,59729,46907327,37
5622387,59729,46907329,40
5622388,59729,46907350,1
5622388,59729,46907321,4
5622388,59729,46907325,7
5622388,59729,46907531,10
5622388,59729,46907313,13
5622388,59729,46907317,16
5622388,59729,46907315,19
5622388,59729,46907318,22
5622388,59729,46907316,25
5622388,59729,46907319,28
5622389,59729,46907206,1
5622389,59729,46907218,4
5622390,59729,46907200,2
5622390,59729,46907951,5
5622391,59729,46907295,1
5622391,59729,46907240,4
5622391,59729,46907516,7
5622391,59729,46907296,10
5622391,59729,46907246,13
5622391,59729,46907301,16
5622391,59729,46907302,19
5622391,59729,46907303,22
5622391,59729,46907249,25
5622391,59729,46907341,28
5622391,59729,46907521,31
5622391,59729,46907324,34
5622391,59729,46905814,35
5622391,59729,46907939,48
5622391,59729,46907937,51
5622392,59729,46907298,1
5622394,59729,46906172,2
5622395,59729,46907221,2
5622395,59729,46907222,5
5622395,59729,46907232,8
5622395,59729,46907332,11
5622395,59729,46907330,14
5622395,59729,46907331,17
5622395,59729,46907335,20
5622395,59729,46907333,23
5622395,59729,46907334,26
5622395,59729,46907360,27
5622395,59729,46907363,30
5622395,59729,46907365,33
5622396,59729,46907756,1
5622396,59729,46907636,3
5622396,59729,46907786,6
5622397,59729,46907759,2
5622398,59729,46907624,1
5622398,59729,46907749,4
5622398,59729,46907628,6
5622398,59729,46907765,9
5622399,59729,46907747,1
5622399,59729,46908815,3
5622399,59729,46907757,6
5622399,59729,46907783,9
5622400,59729,46907625,1
5622400,59729,46907751,4
5622400,59729,46907631,7
5622400,59729,46908806,10
5622400,59729,46907645,12
5622400,59729,46907797,15
5622400,59729,46907660,17
5622400,59729,46907812,20
5622400,59729,46907675,22
5622400,59729,46907828,25
5622400,59729,46907699,27
5622400,59729,46907845,30
5622400,59729,46907725,33
5622400,59729,46907856,36
5622400,59729,46908812,39
5622401,59729,46907750,1
5622401,59729,46907630,4
5622401,59729,46907771,7
5622402,59729,46907753,1
5622402,59729,46907634,4
5622402,59729,46907782,7
5622402,59729,46907648,9
5622402,59729,46907800,12
5622402,59729,46907663,14
5622402,59729,46907815,17
5622402,59729,46907678,19
5622402,59729,46907831,22
5622402,59729,46907707,24
5622402,59729,46907848,27
5622402,59729,46907728,30
5622402,59729,46907858,33
5622403,59729,46907758,1
5622403,59729,46907637,4
5622403,59729,46907787,7
5622403,59729,46907651,9
5622403,59729,46907803,12
5622403,59729,46907666,14
5622403,59729,46907818,17
5622403,59729,46907682,19
5622403,59729,46907835,22
5622403,59729,46907714,25
5622404,59729,46907761,2
5622404,59729,46907788,5
5622405,59729,46907763,2
5622406,59729,46907766,2
5622406,59729,46907790,5
5622406,59729,46907653,8
5622406,59729,46907805,11
5622406,59729,46907668,14
5622406,59729,46907820,17
5622406,59729,46907684,20
5622406,59729,46907837,23
5622406,59729,46908821,26
