service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
86021,1,1,1,1,1,0,0,20200210,20200612
84221,0,1,1,1,1,0,0,20200210,20200612
83111,0,1,1,0,0,0,0,20200210,20200612
80169,0,0,0,0,0,0,0,20200210,20200612
79127,0,0,0,0,0,0,0,20200210,20200612
78827,0,1,0,0,0,0,0,20200210,20200612
77966,0,1,1,1,0,0,0,20200210,20200612
76471,0,0,0,0,0,0,0,20200210,20200612
75429,0,0,0,0,0,0,0,20200210,20200612
59729,1,1,1,1,1,0,0,20200323,20200612
26292,1,1,1,1,1,0,0,20200210,20200320
24492,0,1,1,1,1,0,0,20200210,20200320
23382,0,1,1,0,0,0,0,20200210,20200320
20440,0,0,0,0,0,0,0,20200210,20200320
19398,0,0,0,0,0,0,0,20200210,20200319
19098,0,1,0,0,0,0,0,20200210,20200320
18237,0,1,1,1,0,0,0,20200210,20200319
18002,0,0,0,0,0,0,1,20200216,20200607
16742,0,0,0,0,0,0,0,20200210,20200320
16202,0,0,0,0,0,0,1,20200216,20200607
15700,0,0,0,0,0,0,0,20200210,20200319
15565,0,0,0,0,0,1,0,20200215,20200606
13343,0,0,0,0,0,0,1,20200322,20200607
12501,0,0,0,0,0,1,0,20200321,20200606
10592,0,0,1,0,0,0,0,20200212,20200320
9550,0,0,1,0,0,0,0,20200212,20200318
7194,0,0,1,0,0,0,0,20200212,20200318
6894,0,0,0,0,0,0,0,20200217,20200320
6255,0,0,0,0,1,0,0,20200214,20200320
5852,1,1,1,1,1,0,0,20200217,20200221
5094,0,0,0,0,0,0,0,20200218,20200320
4864,0,0,0,0,0,1,0,20200215,20200314
4659,0,0,0,0,0,0,1,20200216,20200315
4284,0,0,1,0,0,0,0,20200212,20200318
3698,0,0,0,0,0,0,0,20200212,20200318
3064,0,0,0,0,0,1,0,20200215,20200314
2910,0,0,0,0,0,0,0,20200213,20200313
2859,0,0,0,0,0,0,1,20200216,20200315
1800,1,0,0,0,0,0,0,20200217,20200217
